State,Year,Cause,Number_of_Cases,Cause_Details
Maharashtra,2008,Family Issues,30,"{""<18"": 5, ""18-25"": 7, ""26-35"": 3, ""36-45"": 9, ""46-60"": 4, ""60+"": 9}"
Maharashtra,2008,Financial Crisis,43,"{""<18"": 3, ""18-25"": 5, ""26-35"": 8, ""36-45"": 4, ""46-60"": 6, ""60+"": 6}"
Maharashtra,2008,Mental Illness,29,"{'<18': 7, '18-25': 4, '26-35': 3, '36-45': 5, '46-60': 6, '60+': 9}"
Maharashtra,2008,Relationship Issues,37,"{'<18': 5, '18-25': 4, '26-35': 7, '36-45': 5, '46-60': 5, '60+': 7}"
Maharashtra,2008,Exam Stress,32,"{'<18': 8, '18-25': 3, '26-35': 5, '36-45': 1, '46-60': 3, '60+': 6}"
Maharashtra,2008,Addiction,43,"{""<18"": 8, ""18-25"": 2, ""26-35"": 6, ""36-45"": 5, ""46-60"": 3, ""60+"": 4}"
Maharashtra,2008,Chronic Illness,42,"{""<18"": 3, ""18-25"": 5, ""26-35"": 9, ""36-45"": 6, ""46-60"": 4, ""60+"": 3}"
Maharashtra,2008,Unemployment,32,"{'<18': 5, '18-25': 5, '26-35': 4, '36-45': 2, '46-60': 5, '60+': 11}"
Maharashtra,2008,Work Pressure,40,"{""<18"": 5, ""18-25"": 3, ""26-35"": 2, ""36-45"": 7, ""46-60"": 6, ""60+"": 1}"
Maharashtra,2008,Unknown,49,"{""<18"": 7, ""18-25"": 5, ""26-35"": 3, ""36-45"": 4, ""46-60"": 5, ""60+"": 7}"
Maharashtra,2008,Natural Causes,39,"{""<18"": 4, ""18-25"": 5, ""26-35"": 7, ""36-45"": 5, ""46-60"": 9, ""60+"": 5}"
Maharashtra,2009,Family Issues,41,"{""<18"": 7, ""18-25"": 8, ""26-35"": 1, ""36-45"": 5, ""46-60"": 3, ""60+"": 4}"
Maharashtra,2009,Financial Crisis,47,"{""<18"": 4, ""18-25"": 10, ""26-35"": 1, ""36-45"": 3, ""46-60"": 11, ""60+"": 4}"
Maharashtra,2009,Mental Illness,51,"{""<18"": 6, ""18-25"": 0, ""26-35"": 3, ""36-45"": 2, ""46-60"": 6, ""60+"": 3}"
Maharashtra,2009,Relationship Issues,37,"{""<18"": 5, ""18-25"": 9, ""26-35"": 5, ""36-45"": 2, ""46-60"": 6, ""60+"": 7}"
