State,Month,Helpline_Name,Calls_Received,Calls_Answered,Avg_Wait_Seconds,Successful_Interventions,Meta
Maharashtra,01/2015,Snehi,1624,886,8.46,13,"{'region_coordinator': 'C', 'notes': None}"
maharashtra,02/2015,snehi,1320,13,78.31,0,"{""region_coordinator"": ""C"", ""notes"": null}"
MAHARASHTRA,2015-03,Snehi,280,57,112.72,47,"{""region_coordinator"": ""D"", ""notes"": ""camp in rural area""}"
Maharashtra,04/2015,samaritans,142,4,187.74,4,"{""region_coordinator"": ""B"", ""notes"": null}"
Maharashtra,05/2015,iCALL,738,418,292.69,3,"{'region_coordinator': 'D', 'notes': 'camp in rural area'}"
MAHARASHTRA,06/2015,Snehi,1247,167,254.74,27,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
maharashtra,07/2015,AASRA,552,304,38.52,39,"{""region_coordinator"": ""A"", ""notes"": null}"
Maharashtra,08/2015,Vandrevala Foundation,43,13,120.54,4,"{'region_coordinator': 'B', 'notes': ''}"
MAHARASHTRA,09/2015,Vandrevala Foundation,47,47,19.28,23,"{'region_coordinator': 'C', 'notes': 'covered schools'}"
Maharashtra,10/2015,Snehi,544,226,241.17,30,"{'region_coordinator': 'C', 'notes': 'covered schools'}"
maharashtra,11/2015,iCALL,209,156,245.95,31,"{""region_coordinator"": ""C"", ""notes"": ""covered schools""}"
MAHARASHTRA,12/2015,Snehi,645,297,148.16,5,"{'region_coordinator': 'C', 'notes': 'covered schools'}"
Maharashtra,01/2016,Vandrevala Foundation,188,101,118.01,31,"{'region_coordinator': 'C', 'notes': ''}"
Maharashtra,02/2016,iCALL,205k,73,66.82,15,"{""region_coordinator"": ""D"", ""notes"": null}"
MAHARASHTRA,03/2016,Snehi,209,110,192.04,21,"{""region_coordinator"": ""A"", ""notes"": null}"
Maharashtra,04/2016,AASRA,1637,1637,156.98,3,"{'region_coordinator': 'C', 'notes': 'covered schools'}"
Maharashtra,05/2016,Snehi,772,111,206.94,44,"{""region_coordinator"": ""B"", ""notes"": null}"
Maharashtra,06/2016,Vandrevala Foundation,864,731,141.08,7,"{'region_coordinator': 'D', 'notes': 'covered schools'}"
maharashtra,07/2016,Vandrevala Foundation,517,461,133.73,21,"{""region_coordinator"": ""A"", ""notes"": """"}"
MAHARASHTRA,08/2016,AASRA,1478,1366,58.85,8,"{""region_coordinator"": ""D"", ""notes"": null}"
Maharashtra,09/2016,AASRA,419,419,31.27,19,"{""region_coordinator"": ""B"", ""notes"": ""covered schools""}"
maharashtra,10/2016,iCALL,890,209,18.67,49,"{'region_coordinator': 'A', 'notes': None}"
maharashtra,11/2016,AASRA,1892,423,92.04,42,"{""region_coordinator"": ""D"", ""notes"": ""camp in rural area""}"
Maharashtra,12/2016,Snehi,245,240,73.94,1,"{""region_coordinator"": ""D"", ""notes"": ""covered schools""}"
Maharashtra,01/2017,Samaritans,1240,1240,43.67,18,"{""region_coordinator"": ""A"", ""notes"": """"}"
maharashtra,02/2017,Vandrevala Foundation,1131,892,87.49,38,"{""region_coordinator"": ""B"", ""notes"": ""camp in rural area""}"
Maharashtra,03/2017,AASRA,562,356,269.96,29,"{'region_coordinator': 'B', 'notes': None}"
maharashtra,04/2017,Vandrevala Foundation,1353,861,269.61,37,"{'region_coordinator': 'D', 'notes': None}"
maharashtra,05/2017,AASRA,397,313,77.62,36,"{'region_coordinator': 'D', 'notes': 'camp in rural area'}"
maharashtra,06/2017,Vandrevala Foundation,500,500,178.95,28,"{""region_coordinator"": ""A"", ""notes"": null}"
Maharashtra,07/2017,snehi,244,198,296.57,39,"{""region_coordinator"": ""C"", ""notes"": ""camp in rural area""}"
