State,Year,Facility_Type,Count,Facility_Details
Maharashtra,2010,Hospital,41,"[{""name"": ""Hospital_Maharashtra_2010_0"", ""beds"": 71, ""psychiatrists"": 0, ""counselors"": 4}, {""name"": ""Hospital_Maharashtra_2010_1"", ""beds"": 124, ""psychiatrists"": 7, ""counselors"": 4}]"
Maharashtra,2010,Mental Health Clinic,46,
maharashtra,2010,Rehab Center,42,
Maharashtra,2010,NGO Center,1,"[{""name"": ""NGO Center_Maharashtra_2010_0"", ""beds"": 121, ""psychiatrists"": 7, ""counselors"": 17}, {""name"": ""NGO Center_Maharashtra_2010_1"", ""beds"": 108, ""psychiatrists"": 5, ""counselors"": 6}, {""name"": ""NGO Center_Maharashtra_2010_2"", ""beds"": 141, ""psychiatrists"": 6, ""counselors"": 20}, {""name"": ""NGO Center_Maharashtra_2010_3"", ""beds"": 60, ""psychiatrists"": 6, ""counselors"": 9}, {""name"": ""NGO Center_Maharashtra_2010_4"", ""beds"": 80, ""psychiatrists"": 8, ""counselors"": 19}]"
Maharashtra,2010,Teletherapy Service,50,"[{""name"": ""Teletherapy Service_Maharashtra_2010_0"", ""beds"": 190, ""psychiatrists"": 6, ""counselors"": 15}, {""name"": ""Teletherapy Service_Maharashtra_2010_1"", ""beds"": 28, ""psychiatrists"": 6, ""counselors"": 0}, {""name"": ""Teletherapy Service_Maharashtra_2010_2"", ""beds"": 135, ""psychiatrists"": 9, ""counselors"": 0}, {""name"": ""Teletherapy Service_Maharashtra_2010_3"", ""beds"": 103, ""psychiatrists"": 4, ""counselors"": 15}, {""name"": ""Teletherapy Service_Maharashtra_2010_4"", ""beds"": 192, ""psychiatrists"": 2, ""counselors"": 9}]"
Maharashtra,2011,Hospital,48,"[{""name"": ""Hospital_Maharashtra_2011_0"", ""beds"": 195, ""psychiatrists"": 1, ""counselors"": 10}]"
Maharashtra,2011,Mental Health Clinic,3,
Maharashtra,2011,Rehab Center,16,"[{'name': 'Rehab Center_Maharashtra_2011_0', 'beds': 154, 'psychiatrists': 1, 'counselors': 13}, {'name': 'Rehab Center_Maharashtra_2011_1', 'beds': 140, 'psychiatrists': 4, 'counselors': 4}, {'name': 'Rehab Center_Maharashtra_2011_2', 'beds': 109, 'psychiatrists': 0, 'counselors': 8}, {'name': 'Rehab Center_Maharashtra_2011_3', 'beds': 0, 'psychiatrists': 8, 'counselors': 19}, {'name': 'Rehab Center_Maharashtra_2011_4', 'beds': 187, 'psychiatrists': 9, 'counselors': 20}]"
maharashtra,2011,NGO Center,22,"[{'name': 'NGO Center_Maharashtra_2011_0', 'beds': 142, 'psychiatrists': 9, 'counselors': 12}, {'name': 'NGO Center_Maharashtra_2011_1', 'beds': 77, 'psychiatrists': 3, 'counselors': 5}, {'name': 'NGO Center_Maharashtra_2011_2', 'beds': 42, 'psychiatrists': 4, 'counselors': 18}, {'name': 'NGO Center_Maharashtra_2011_3', 'beds': 13, 'psychiatrists': 1, 'counselors': 14}]"
Maharashtra,2011,Teletherapy Service,29,
maharashtra,2012,Hospital,3,"[{'name': 'Hospital_Maharashtra_2012_0', 'beds': 60, 'psychiatrists': 9, 'counselors': 4}, {'name': 'Hospital_Maharashtra_2012_1', 'beds': 169, 'psychiatrists': 8, 'counselors': 5}, {'name': 'Hospital_Maharashtra_2012_2', 'beds': 61, 'psychiatrists': 8, 'counselors': 5}]"
maharashtra,2012,Mental Health Clinic,25,
Maharashtra,2012,Rehab Center,20,
MAHARASHTRA,2012,NGO Center,16,"[{""name"": ""NGO Center_Maharashtra_2012_0"", ""beds"": 192, ""psychiatrists"": 9, ""counselors"": 0}, {""name"": ""NGO Center_Maharashtra_2012_1"", ""beds"": 34, ""psychiatrists"": 9, ""counselors"": 12}, {""name"": ""NGO Center_Maharashtra_2012_2"", ""beds"": 92, ""psychiatrists"": 9, ""counselors"": 2}, {""name"": ""NGO Center_Maharashtra_2012_3"", ""beds"": 123, ""psychiatrists"": 6, ""counselors"": 2}, {""name"": ""NGO Center_Maharashtra_2012_4"", ""beds"": 194, ""psychiatrists"": 2, ""counselors"": 3}]"
MAHARASHTRA,2012,Teletherapy Service,32,"[{""name"": ""Teletherapy Service_Maharashtra_2012_0"", ""beds"": 54, ""psychiatrists"": 0, ""counselors"": 12}, {""name"": ""Teletherapy Service_Maharashtra_2012_1"", ""beds"": 160, ""psychiatrists"": 6, ""counselors"": 20}, {""name"": ""Teletherapy Service_Maharashtra_2012_2"", ""beds"": 132, ""psychiatrists"": 6, ""counselors"": 5}, {""name"": ""Teletherapy Service_Maharashtra_2012_3"", ""beds"": 176, ""psychiatrists"": 3, ""counselors"": 16}, {""name"": ""Teletherapy Service_Maharashtra_2012_4"", ""beds"": 27, ""psychiatrists"": 2, ""counselors"": 14}]"
maharashtra,2013,Hospital,1,"[{""name"": ""Hospital_Maharashtra_2013_0"", ""beds"": 133, ""psychiatrists"": 8, ""counselors"": 5}, {""name"": ""Hospital_Maharashtra_2013_1"", ""beds"": 69, ""psychiatrists"": 1, ""counselors"": 8}, {""name"": ""Hospital_Maharashtra_2013_2"", ""beds"": 193, ""psychiatrists"": 1, ""counselors"": 7}, {""name"": ""Hospital_Maharashtra_2013_3"", ""beds"": 109, ""psychiatrists"": 9, ""counselors"": 18}, {""name"": ""Hospital_Maharashtra_2013_4"", ""beds"": 129, ""psychiatrists"": 7, ""counselors"": 18}]"
maharashtra,2013,Mental Health Clinic,27,"[{""name"": ""Mental Health Clinic_Maharashtra_2013_0"", ""beds"": 48, ""psychiatrists"": 7, ""counselors"": 7}, {""name"": ""Mental Health Clinic_Maharashtra_2013_1"", ""beds"": 135, ""psychiatrists"": 1, ""counselors"": 12}]"
maharashtra,2013,Rehab Center,10,"[{""name"": ""Rehab Center_Maharashtra_2013_0"", ""beds"": 97, ""psychiatrists"": 8, ""counselors"": 11}, {""name"": ""Rehab Center_Maharashtra_2013_1"", ""beds"": 182, ""psychiatrists"": 5, ""counselors"": 2}, {""name"": ""Rehab Center_Maharashtra_2013_2"", ""beds"": 76, ""psychiatrists"": 6, ""counselors"": 3}]"
maharashtra,2013,NGO Center,18,"[{""name"": ""NGO Center_Maharashtra_2013_0"", ""beds"": 90, ""psychiatrists"": 8, ""counselors"": 0}, {""name"": ""NGO Center_Maharashtra_2013_1"", ""beds"": 129, ""psychiatrists"": 6, ""counselors"": 17}, {""name"": ""NGO Center_Maharashtra_2013_2"", ""beds"": 39, ""psychiatrists"": 1, ""counselors"": 12}]"
Maharashtra,2013,Teletherapy Service,10,"[{'name': 'Teletherapy Service_Maharashtra_2013_0', 'beds': 98, 'psychiatrists': 4, 'counselors': 4}, {'name': 'Teletherapy Service_Maharashtra_2013_1', 'beds': 90, 'psychiatrists': 9, 'counselors': 3}, {'name': 'Teletherapy Service_Maharashtra_2013_2', 'beds': 85, 'psychiatrists': 10, 'counselors': 9}, {'name': 'Teletherapy Service_Maharashtra_2013_3', 'beds': 51, 'psychiatrists': 3, 'counselors': 18}, {'name': 'Teletherapy Service_Maharashtra_2013_4', 'beds': 121, 'psychiatrists': 4, 'counselors': 17}]"
Maharashtra,2014,Hospital,28,
maharashtra,2014,Mental Health Clinic,39,
MAHARASHTRA,2014,Rehab Center,49,"[{""name"": ""Rehab Center_Maharashtra_2014_0"", ""beds"": 75, ""psychiatrists"": 5, ""counselors"": 2}]"
Maharashtra,2014,NGO Center,36,"[{'name': 'NGO Center_Maharashtra_2014_0', 'beds': 136, 'psychiatrists': 7, 'counselors': 14}, {'name': 'NGO Center_Maharashtra_2014_1', 'beds': 183, 'psychiatrists': 2, 'counselors': 18}, {'name': 'NGO Center_Maharashtra_2014_2', 'beds': 16, 'psychiatrists': 8, 'counselors': 16}]"
Maharashtra,2014,Teletherapy Service,24,"[{'name': 'Teletherapy Service_Maharashtra_2014_0', 'beds': 118, 'psychiatrists': 7, 'counselors': 4}]"
Maharashtra,2015,Hospital,40,"[{""name"": ""Hospital_Maharashtra_2015_0"", ""beds"": 54, ""psychiatrists"": 2, ""counselors"": 5}, {""name"": ""Hospital_Maharashtra_2015_1"", ""beds"": 60, ""psychiatrists"": 4, ""counselors"": 19}, {""name"": ""Hospital_Maharashtra_2015_2"", ""beds"": 192, ""psychiatrists"": 2, ""counselors"": 13}, {""name"": ""Hospital_Maharashtra_2015_3"", ""beds"": 129, ""psychiatrists"": 1, ""counselors"": 6}]"
maharashtra,2015,Mental Health Clinic,6,"[{""name"": ""Mental Health Clinic_Maharashtra_2015_0"", ""beds"": 174, ""psychiatrists"": 10, ""counselors"": 16}, {""name"": ""Mental Health Clinic_Maharashtra_2015_1"", ""beds"": 175, ""psychiatrists"": 3, ""counselors"": 4}, {""name"": ""Mental Health Clinic_Maharashtra_2015_2"", ""beds"": 74, ""psychiatrists"": 5, ""counselors"": 4}, {""name"": ""Mental Health Clinic_Maharashtra_2015_3"", ""beds"": 162, ""psychiatrists"": 6, ""counselors"": 10}]"
Maharashtra,2015,Rehab Center,2,"[{'name': 'Rehab Center_Maharashtra_2015_0', 'beds': 142, 'psychiatrists': 7, 'counselors': 13}, {'name': 'Rehab Center_Maharashtra_2015_1', 'beds': 171, 'psychiatrists': 4, 'counselors': 15}, {'name': 'Rehab Center_Maharashtra_2015_2', 'beds': 76, 'psychiatrists': 9, 'counselors': 9}, {'name': 'Rehab Center_Maharashtra_2015_3', 'beds': 108, 'psychiatrists': 5, 'counselors': 19}]"
Maharashtra,2015,NGO Center,3,"[{""name"": ""NGO Center_Maharashtra_2015_0"", ""beds"": 154, ""psychiatrists"": 8, ""counselors"": 10}, {""name"": ""NGO Center_Maharashtra_2015_1"", ""beds"": 143, ""psychiatrists"": 8, ""counselors"": 14}, {""name"": ""NGO Center_Maharashtra_2015_2"", ""beds"": 30, ""psychiatrists"": 3, ""counselors"": 16}]"
Maharashtra,2015,Teletherapy Service,18,"[{""name"": ""Teletherapy Service_Maharashtra_2015_0"", ""beds"": 153, ""psychiatrists"": 10, ""counselors"": 5}, {""name"": ""Teletherapy Service_Maharashtra_2015_1"", ""beds"": 50, ""psychiatrists"": 3, ""counselors"": 13}]"
maharashtra,2016,Hospital,32,
Maharashtra,2016,Mental Health Clinic,15,"[{""name"": ""Mental Health Clinic_Maharashtra_2016_0"", ""beds"": 30, ""psychiatrists"": 3, ""counselors"": 1}, {""name"": ""Mental Health Clinic_Maharashtra_2016_1"", ""beds"": 185, ""psychiatrists"": 1, ""counselors"": 12}]"
Maharashtra,2016,Rehab Center,14,"[{""name"": ""Rehab Center_Maharashtra_2016_0"", ""beds"": 146, ""psychiatrists"": 3, ""counselors"": 2}, {""name"": ""Rehab Center_Maharashtra_2016_1"", ""beds"": 181, ""psychiatrists"": 8, ""counselors"": 6}, {""name"": ""Rehab Center_Maharashtra_2016_2"", ""beds"": 111, ""psychiatrists"": 5, ""counselors"": 3}, {""name"": ""Rehab Center_Maharashtra_2016_3"", ""beds"": 191, ""psychiatrists"": 5, ""counselors"": 13}, {""name"": ""Rehab Center_Maharashtra_2016_4"", ""beds"": 37, ""psychiatrists"": 3, ""counselors"": 16}]"
Maharashtra,2016,NGO Center,13,
Maharashtra,2016,Teletherapy Service,47,"[{""name"": ""Teletherapy Service_Maharashtra_2016_0"", ""beds"": 114, ""psychiatrists"": 2, ""counselors"": 17}, {""name"": ""Teletherapy Service_Maharashtra_2016_1"", ""beds"": 192, ""psychiatrists"": 10, ""counselors"": 12}]"
MAHARASHTRA,2017,Hospital,21,
