State,Year,Age_Group,Gender,Suicides,Demographics,Notes
Maharashtra,2008,<18,Male,47,"{'population': 3785650, 'urban_pct': 21.75, 'rural_pct': 70.75, 'median_age': 26.7}",
Maharashtra,2008,<18,Female,55,"{""population"": 1116449, ""urban_pct"": 22.09, ""rural_pct"": 74.7, ""median_age"": 30.1}",
MAHARASHTRA,2008,<18,Other,42,"{'population': 15122954, 'urban_pct': 61.25, 'rural_pct': 33.34, 'median_age': 24.1}",
Maharashtra,2008,18-25,Male,52,"{'population': 11344238, 'urban_pct': 27.15, 'rural_pct': 63.41, 'median_age': 28.3}",
Maharashtra,2008/01,18-25,Female,58,"{'population': 12751506, 'urban_pct': 25.52, 'rural_pct': 69.48, 'median_age': 31.5}",
maharashtra,2008,18-25,Other,43,"{'population': 7696997, 'urban_pct': 74.11, 'rural_pct': 21.03, 'median_age': 34.3}",
MAHARASHTRA,2008,26-35,Male,46,"{'population': 11970906, 'urban_pct': 34.67, 'rural_pct': 71.31, 'median_age': 35.2}",
Maharashtra,2008,26-35,Female,49,"{'population': 12782411, 'urban_pct': 38.9, 'rural_pct': 25.22, 'median_age': 32.3}",
MAHARASHTRA,2008,26-35,Other,52,"{'population': 1127105, 'urban_pct': 76.35, 'rural_pct': 61.92, 'median_age': 24.8}",
Maharashtra,2008,36-45,Male,45,"{""population"": 13325203, ""urban_pct"": 81.93, ""rural_pct"": 45.0, ""median_age"": 25.7}",
Maharashtra,2008,36-45,Female,49,"{'population': 19665450, 'urban_pct': 49.99, 'rural_pct': 49.15, 'median_age': 28.3}",
Maharashtra,2008,36-45,Other,43,"{""population"": 5178503, ""urban_pct"": 63.92, ""rural_pct"": 34.55, ""median_age"": 29.1}",
maharashtra,2008,46-60,Male,52,"{'population': 18613180, 'urban_pct': 80.25, 'rural_pct': 89.2, 'median_age': 32.6}",
Maharashtra,2008,46-60,Female,52,"{'population': 14638301, 'urban_pct': 31.07, 'rural_pct': 89.77, 'median_age': 32.7}",
Maharashtra,2008,46-60,Other,46,"{'population': 10064145, 'urban_pct': 78.92, 'rural_pct': 54.46, 'median_age': 26.4}",
